seed_index	world_seed	mode	reducer	run	n_subjects	observed	p_two_sided	studentization_sd	subject_statistic_skewness	n_positive	n_negative	n_zero	positive_fraction
62	20860889	benchmark	mean	R1	16	4.92543064225935e-05	0.616455078125	9.48431306166566e-05	0.127244912484878	9	7	0	0.5625
62	20860889	benchmark	mean	R2	13	7.29561049012716e-05	0.59619140625	0.000125189950363407	0.706974087968374	6	7	0	0.461538461538462
63	20860890	benchmark	median	R1	16	-0.000210093441146209	0.012420654296875	8.77965236776463e-05	0.196847389145016	3	13	0	0.1875
63	20860890	benchmark	median	R2	13	-0.000366267963680587	0.005859375	0.000142865534929451	0.0792445249937563	3	10	0	0.230769230769231
63	20860890	benchmark	mean	R1	16	-6.98996827636787e-05	0.403564453125	8.12577267573172e-05	0.408436065696334	5	11	0	0.3125
63	20860890	benchmark	mean	R2	13	-5.29675839441919e-05	0.633056640625	0.000105698241569694	0.222191104473497	6	7	0	0.461538461538462
64	20860891	benchmark	median	R1	16	-0.000163792848682943	0.098907470703125	9.92690214728241e-05	2.08254759618164	2	14	0	0.125
64	20860891	benchmark	median	R2	13	-0.000198219538776116	0.071044921875	0.000109930754971591	0.561060922191404	4	9	0	0.307692307692308
64	20860891	benchmark	mean	R1	16	-1.54288334086577e-05	0.8585205078125	8.27820905633489e-05	0.648104319837442	7	9	0	0.4375
64	20860891	benchmark	mean	R2	13	-2.93192226319434e-05	0.7119140625	7.67320131059073e-05	-0.368911489639292	7	6	0	0.538461538461538
65	20860892	benchmark	median	R1	16	-0.000106682246659662	0.218475341796875	8.37678732845834e-05	-0.905584128687064	6	10	0	0.375
65	20860892	benchmark	median	R2	13	-0.000264357042227349	0.048095703125	0.000135979700098053	0.598783625331715	3	10	0	0.230769230769231
65	20860892	benchmark	mean	R1	16	-1.84832432880805e-06	0.97894287109375	6.79428752373538e-05	-1.06744374706649	10	6	0	0.625
65	20860892	benchmark	mean	R2	13	-0.000118861213095702	0.286865234375	0.000108978367666751	0.179551331192971	5	8	0	0.384615384615385
66	20860893	benchmark	median	R1	16	-0.000234065138271022	0.025482177734375	0.000107687270631056	-0.151854120578441	4	12	0	0.25
66	20860893	benchmark	median	R2	13	-0.000307740697100716	0.00439453125	0.000115420352482637	0.302782999866167	3	10	0	0.230769230769231
66	20860893	benchmark	mean	R1	16	-6.41953449606246e-05	0.4783935546875	8.84651497209769e-05	-0.248139681763127	8	8	0	0.5
66	20860893	benchmark	mean	R2	13	-9.54894796228105e-06	0.92919921875	0.000100713260138286	-0.0977175353770824	6	7	0	0.461538461538462
67	20860894	benchmark	median	R1	16	-0.00017424473183257	0.061859130859375	9.32519257882856e-05	0.953071921376925	4	12	0	0.25
67	20860894	benchmark	median	R2	13	-0.000123406933775991	0.2890625	0.000112433267489649	-0.261824786424465	5	8	0	0.384615384615385
67	20860894	benchmark	mean	R1	16	-3.28411453524608e-05	0.6326904296875	6.69396808257555e-05	0.253655060306571	6	10	0	0.375
67	20860894	benchmark	mean	R2	13	3.98724129875299e-05	0.73681640625	0.000110336317919874	0.409852760617983	5	8	0	0.384615384615385
68	20860895	benchmark	median	R1	16	-3.05215950907162e-05	0.71295166015625	7.87800553400991e-05	0.731869759226675	8	8	0	0.5
