cell_id	seed_index	row_index	subject	run	Mpower	Mphase	n_pairs
P01	6	4	CS42	R2	-0.00620792781613915	0	14
P01	6	5	CS43	R1	-0.0016970469299448	0	14
P01	6	6	CS43	R2	-0.0094975089362718	0	14
P01	6	7	CS44	R1	0.00663538283791623	0	14
P01	6	8	CS47	R1	-0.000708850474675591	0	14
P01	6	9	CS47	R2	0.00259680483631259	0	14
P01	6	10	CS48	R1	0.0073758379909714	0	14
P01	6	11	CS48	R2	-0.000479692309837619	0	14
P01	6	12	CS49	R1	0.00850743207076297	0	12
P01	6	13	CS49	R2	-0.000174838134318343	0	14
P01	6	14	CS51	R1	-0.00365804228653185	0	14
P01	6	15	CS51	R2	0.00275112336274964	0	12
P01	6	16	CS53	R1	-0.00717579140295497	0	12
P01	6	17	CS53	R2	-0.00285085796246633	0	8
P01	6	18	CS54	R1	-0.000131719396403655	0	7
P01	6	19	CS54	R2	0.0113874298660727	0	7
P01	6	20	CS55	R1	-0.00436112772881087	0	14
P01	6	21	CS55	R2	0.00262395484215911	0	14
P01	6	22	CS56	R1	-0.00153337608257726	0	12
P01	6	23	CS56	R2	-0.00290109120453199	0	12
P01	6	24	CS57	R1	-0.00188753060850025	0	12
P01	6	25	CS57	R2	-0.00680133936800228	0	12
P01	6	26	CS58	R1	-0.00022059543652051	0	7
P01	6	27	CS60	R1	-0.00129038046112021	0	14
P01	6	28	CS62	R1	-0.0108772533246572	0	7
P01	6	29	CS62	R2	-0.00577500601288815	0	7
P01	7	1	CS41	R1	-0.00455423826003231	0	14
P01	7	2	CS41	R2	-0.00641907713729708	0	14
P01	7	3	CS42	R1	-0.0047844226771293	0	14
P01	7	4	CS42	R2	-0.00083330482300923	0	14
P01	7	5	CS43	R1	0.00171957288998922	0	14
P01	7	6	CS43	R2	0.00236400712903768	0	14
P01	7	7	CS44	R1	-0.00551276631434036	0	14
P01	7	8	CS47	R1	-0.000832753612094109	0	14
P01	7	9	CS47	R2	0.00129179783407989	0	14
P01	7	10	CS48	R1	-0.000973523396693246	0	14
P01	7	11	CS48	R2	0.00388090558127393	0	14
P01	7	12	CS49	R1	-0.00103171867043214	0	12
P01	7	13	CS49	R2	-0.0061205583390394	0	14
P01	7	14	CS51	R1	0.00303467726636056	0	14
P01	7	15	CS51	R2	-0.000242414447097652	0	12
P01	7	16	CS53	R1	0.0124720985766096	0	12
P01	7	17	CS53	R2	-0.00979227308025069	0	8
P01	7	18	CS54	R1	0.00699127048728518	0	7
P01	7	19	CS54	R2	-0.000768476825860619	0	7
P01	7	20	CS55	R1	0.00460839248716836	0	14
P01	7	21	CS55	R2	0.00155885331399372	0	14
P01	7	22	CS56	R1	0.00108529259644969	0	12
P01	7	23	CS56	R2	-0.00207380378366332	0	12
P01	7	24	CS57	R1	-0.00536019607985034	0	12
P01	7	25	CS57	R2	0.00927829255034016	0	12
P01	7	26	CS58	R1	-0.00880038331809112	0	7
P01	7	27	CS60	R1	-0.0151350099725678	0	14
P01	7	28	CS62	R1	0.00695714693202961	0	7
P01	7	29	CS62	R2	0.00421931781088341	0	7
P01	8	1	CS41	R1	-0.0151887825111553	0	14
P01	8	2	CS41	R2	0.00346672726062779	0	14
P01	8	3	CS42	R1	0.00184081420306966	0	14
P01	8	4	CS42	R2	0.00479290136908918	0	14
P01	8	5	CS43	R1	0.00101354084689518	0	14
P01	8	6	CS43	R2	-0.00079245266592312	0	14
P01	8	7	CS44	R1	-0.0064044274372083	0	14
P01	8	8	CS47	R1	-0.0091654458346686	0	14
P01	8	9	CS47	R2	0.00558197126190992	0	14
P01	8	10	CS48	R1	0.00219933150772778	0	14
P01	8	11	CS48	R2	0.00575390445475489	0	14
P01	8	12	CS49	R1	-0.00344175431121002	0	12
P01	8	13	CS49	R2	0.00395118114351234	0	14
P01	8	14	CS51	R1	0.00354996512792758	0	14
P01	8	15	CS51	R2	-0.00408029754328674	0	12
P01	8	16	CS53	R1	0.0101531031628006	0	12
P01	8	17	CS53	R2	-0.00566342952183017	0	8
P01	8	18	CS54	R1	-0.000451929077831548	0	7
P01	8	19	CS54	R2	-0.000931787197819805	0	7
P01	8	20	CS55	R1	-0.00592264021993756	0	14
P01	8	21	CS55	R2	6.06287549215675e-05	0	14
P01	8	22	CS56	R1	-0.0127615945782371	0	12
P01	8	23	CS56	R2	0.00823405476267463	0	12
P01	8	24	CS57	R1	0.00795672330289115	0	12
P01	8	25	CS57	R2	-0.000524371808379032	0	12
P01	8	26	CS58	R1	-0.00122519535676288	0	7
P01	8	27	CS60	R1	0.00377572604472076	0	14
