seed_index	world_seed	run_kind	arm	J_contract	reducer	run	n_subjects	observed	p_two_sided	studentization_sd	subject_statistic_skewness	n_positive	n_negative	n_zero	positive_fraction	effective_contract_sha256	background_world_sha256
9	20860836	formal	J32_reference	32	mean	R1	16	2.67476140766662e-05	0.703643798828125	6.80337327076551e-05	0.225010419947156	8	8	0	0.5	28563C57C011C9FFC6068703FB96F9770274DF2EF7E790469BD70EF541A2B444	07A6CAD5808C87B00919B0C7B20FC35BF6A99DDA8EAAFD1237D13A891452EC25
9	20860836	formal	J32_reference	32	mean	R2	13	-1.69795120327173e-05	0.94091796875	9.83506545146447e-05	-2.50167618698823	6	7	0	0.461538461538462	28563C57C011C9FFC6068703FB96F9770274DF2EF7E790469BD70EF541A2B444	07A6CAD5808C87B00919B0C7B20FC35BF6A99DDA8EAAFD1237D13A891452EC25
9	20860836	formal	J256_high	256	median	R1	16	-0.000159094512965487	0.0235595703125	7.22643467313427e-05	1.15970180624063	4	12	0	0.25	275133FAE62F2EB964E144A58425FA1382B899D2F6D04F086FB853D60FFB0A83	07A6CAD5808C87B00919B0C7B20FC35BF6A99DDA8EAAFD1237D13A891452EC25
9	20860836	formal	J256_high	256	median	R2	13	-0.000263303257477457	0.016845703125	0.000140691644565778	-2.3759914550832	4	9	0	0.307692307692308	275133FAE62F2EB964E144A58425FA1382B899D2F6D04F086FB853D60FFB0A83	07A6CAD5808C87B00919B0C7B20FC35BF6A99DDA8EAAFD1237D13A891452EC25
9	20860836	formal	J256_high	256	mean	R1	16	3.79852865186291e-05	0.57391357421875	6.46660796843442e-05	0.480456897040453	9	7	0	0.5625	275133FAE62F2EB964E144A58425FA1382B899D2F6D04F086FB853D60FFB0A83	07A6CAD5808C87B00919B0C7B20FC35BF6A99DDA8EAAFD1237D13A891452EC25
9	20860836	formal	J256_high	256	mean	R2	13	-2.6140020041973e-05	0.889892578125	9.35578667432484e-05	-2.37500056650973	8	5	0	0.615384615384615	275133FAE62F2EB964E144A58425FA1382B899D2F6D04F086FB853D60FFB0A83	07A6CAD5808C87B00919B0C7B20FC35BF6A99DDA8EAAFD1237D13A891452EC25
10	20860837	formal	J32_reference	32	median	R1	16	-0.000234908206554426	0.071563720703125	0.000130498434829561	0.645113958070021	4	12	0	0.25	28563C57C011C9FFC6068703FB96F9770274DF2EF7E790469BD70EF541A2B444	EC002B91B62EBFCADAF158F86AE96F09A2C09F080E3EB8AB0BB2A3D6DC2F9B69
10	20860837	formal	J32_reference	32	median	R2	13	-0.00035409544197661	0.02734375	0.000163823303265051	1.53357813386511	3	10	0	0.230769230769231	28563C57C011C9FFC6068703FB96F9770274DF2EF7E790469BD70EF541A2B444	EC002B91B62EBFCADAF158F86AE96F09A2C09F080E3EB8AB0BB2A3D6DC2F9B69
10	20860837	formal	J32_reference	32	mean	R1	16	-0.000109849665200082	0.357452392578125	0.000117057501620483	0.424619662234204	8	8	0	0.5	28563C57C011C9FFC6068703FB96F9770274DF2EF7E790469BD70EF541A2B444	EC002B91B62EBFCADAF158F86AE96F09A2C09F080E3EB8AB0BB2A3D6DC2F9B69
10	20860837	formal	J32_reference	32	mean	R2	13	-0.000178684987643074	0.1279296875	0.000115918333690481	0.806964325679158	4	9	0	0.307692307692308	28563C57C011C9FFC6068703FB96F9770274DF2EF7E790469BD70EF541A2B444	EC002B91B62EBFCADAF158F86AE96F09A2C09F080E3EB8AB0BB2A3D6DC2F9B69
